Código,Descrição
EM13CO07,"Compreender as diferentes  tecnologias, bem como equipamentos,  protocolos e serviços envolvidos no  funcionamento de redes de computadores,  identificando suas possibilidades de escala  e confiabilidade."
EM13CO11,"- Criar e explorar modelos  computacionais simples para simular e  fazer previsões, identificando sua  importância no desenvolvimento  científico."
EM13CO16,"- Desenvolver projetos com  robótica, utilizando artefatos físicos ou  simuladores."
EM13CO21,"- Comunicar ideias complexas  de forma clara por meio de objetos digitais  como mapas conceituais, infográficos,  hipertextos e outros."
EM13CO24,- Identificar e reconhecer  como as redes sociais e artefatos  computacionais em geral interferem na  saúde física e mental de seus usuários.
EM13CO19,"- Expor, argumentar e  negociar propostas, produtos e serviços,  utilizando diferentes mídias e ferramentas  digitais."
EM13CO26,"– Aplicar os conceitos e  pressupostos do direito digital em sua  conduta e experiências com o cotidiano da  cultura digital, bem como na produção e  uso de artefatos computacionais.  ✔ Desenvolver a capacidade dos  estudantes de utilizar diferentes  linguagens ao conduzir entrevistas  com falantes nativos de diferentes  regiões, específicas de seus  interlocutores.  ✔ Aprimorar a habilidade de utilizar  diferentes linguagens na análise de  • Entrevistas com profissionais de diferentes  áreas como Ciência, Tecnologia, Arte e"
EM13CO05,"Identificar os limites  da Computação para diferenciar o  que pode ou não ser  automatizado, buscando uma  compreensão mais ampla dos  limites dos processos mentais  envolvidos na resolução de  problemas.  ✔ Relacionar diferentes atores e seus  discursos para a legitimação das diferentes  práticas de linguagem.  ✔ Interagir em práticas de linguagem de  expressão espanhola em contextos  diversos, presenciais ou virtuais, síncronos  ou não, criando espaços para a identidade  e inclusão social.  • Dar información y datos personales.  • Verbos regulares en presente de indicativo.  • Formas y usos de los pronombres: tú, vos,  usted, ustedes, vosotros, vosotras.  • Formas y uso de: señor, señora, don, doña.  • Género y número de sustantivos.  • Números cardinales.  • Las horas.   • Sonidos de las consonantes: b, v."
EM13CO25,"Dialogar em  ambientes virtuais com  segurança e respeito às  diferenças culturais e pessoais,  reconhecendo e denunciando  atitudes abusivas.  ✔ Compreender o caráter sistémico do planeta  e reconhecer a importância da diversidade  para a preservação da vida, relacionando as  condições do meio ambiente e a intervenção  humana.  ✔ Associar termos específicos a ações de  preservação e conscientização ambiental  para ampliar o repertório lexical relacionado  à ecologia, mudanças climáticas e esforços  de sustentabilidade nos países de expressão  espanhola a fim de promover a  compreensão da  importância da  sustentabilidade.  ✔ Refletir sobre os fenômenos mundiais que  afetam o meio ambiente, bem como as  práticas que se tem incorporado para a sua  conservação, com a finalidade de despertar  a conscientização e a intervenção da  realidade.  ✔ Alertar sobre a realidade das doenças  sexualmente transmissíveis na sociedade  como meio de prevenção, proporcionando  reflexão sobre a igualdade de gêneros, o  respeito a si mesmo, o saber dizer “não” e a  previsão das consequências.   • Expresiones de probabilidad.  • Perífrasis verbales: estar + gerundio.  • Oraciones condicionales.  • Verbos regulares e irregulares en futuro de  indicativo.  • Léxico: naturaleza y ecología.  • Hablar de relaciones y sentimientos.  • Pedir y dar consejos y recomendaciones.  • Expresar posibilidad.  • Expresar cantidad o identidad poco  específica.  • Léxico: salud y relaciones personales.  • Verbos en condicional – regular e irregular.  • Pronombres indefinidos."
EM13CO01,Explorar e construir  a solução de problemas por meio  da reutilização de partes de  soluções existentes.
EM13CO24,Identificar e  reconhecer como as redes sociais e  artefatos computacionais em geral  interferem na saúde física e mental  de seus usuários.
EM13CO21,"Comunicar ideias  complexas de forma clara por meio  de objetos digitais como mapas  conceituais, infográficos,  hipertextos e outros."
EM13CO25,"Dialogar em  ambientes virtuais com segurança  e respeito às diferenças culturais e  pessoais, reconhecendo e  denunciando atitudes abusivas.  ✔ Adquirir autonomia na construção de conceitos  e procedimentos para tomada de decisões, ações  planejadas e intencionais, a partir da percepção do ritmo  pessoal e grupal.   ✔ Desenvolver a noção espaço/tempo, exploração e  compreensão de gestos de códigos e outros movimentos  corporais, incentivando a compreensão e superação de  limites pessoais.  ✔ Relacionar as atividades rítmicas e expressivas ao  desenvolvimento de atitudes, normas, valores e atitudes,  cooperação e solidariedade para incentivo ao diálogo,  valorização da cultura popular nacional e local.  • Ginástica (condicionamento e  conscientização corporal).  • Manifestações e representações  da cultura rítmica (Africana,"
EM13CO19,"Expor, argumentar  e negociar propostas, produtos e  serviços utilizando diferentes  mídias e ferramentas digitais."
EM13CO26,"Aplicar os  conceitos e pressupostos do  direito digital em sua conduta e  experiências com o cotidiano da  cultura digital, bem como na  produção e uso de artefatos  computacionais.  ✔ Relacionar conteúdos fundamentais da cultura de  movimento com temáticas relacionadas à vida  cotidiana, garantindo assim, seu compromisso  pedagógico, educacional, político e social, com  abertura para a discussão.  ✔ Abordar a corporeidade, cultura e história negra nas  ações pedagógicas.  • Práticas corporais de aventura.  • Gestualidade e Culturas  (capoeira).  • Brincadeiras e jogos eletrônicos  e cooperativos.  • Gincanas escolares - exposição  e negociação de ideias com o  apoio das mídias digitais.  (EM1LGG201) Utilizar as diversas  linguagens (artísticas, corporais  e verbais) em diferentes  contextos, valorizando-as como  fenômeno social, cultural,  histórico, variável e heterogêneo."
EM13CO08,"Entender como  mudanças na tecnologia afetam  a segurança, incluindo novas  maneiras de preservar sua  privacidade e dados pessoais on- line, reportando suspeitas e  buscando ajuda em situações de  risco."
EM13CO25,"Dialogar em  ambientes virtuais com  segurança e respeito às  diferenças culturais e pessoais,  reconhecendo e denunciando  atitudes abusivas.  ✔ Explicar a regulamentação, a lógica do surgimento  do esporte, os requisitos de sua prática.  ✔ Descrever como as práticas corporais de aventura,  as lutas e o esporte estão inseridos na sociedade de  distintas maneiras, na economia, cultura e na  política, e como são integrados esses elementos em  maior ou menor grau dependendo da finalidade, da  prática e do sentido que lhe é conferido.  ✔ Identificar as estratégias de marketing, produção e  comercialização dos materiais, equipamentos  esportivos e do próprio esporte transformado em  mercadoria, coisificado como produto da indústria  cultural.  ✔ Demonstrar que o esporte como linguagem corporal  e/ou forma de expressão e comunicação entre os  homens pode favorecer o diálogo do bem comum  entre as culturas, aproximando os homens para a  convivência.  • Expressar e refletir sobre  situações-conflito gerados  através das linguagens  corporais proporcionadas em  cada movimento nas danças  urbanas.  • Danças urbanas."
EM13CO12,"Produzir, analisar,  gerir e compartilhar informações  a partir de dados, utilizando  princípios de ciência de dados."
EM13CO13,Analisar e utilizar as  diferentes formas de  representação e consulta a  dados em formato digital para  pesquisas científicas.
EM13CO18,"Planejar e gerenciar  projetos integrados às áreas de  conhecimento de forma  colaborativa, solucionando  problemas, usando diversos  artefatos computacionais.  ✔ Coreografar como um processo técnico, incluindo  possibilidades de utilização de movimentos naturais  e que representem, de forma artística e autônoma,  movimentos relacionados a algum contexto  subsidiado pela experiência de vida dos alunos.  ✔ Promover uma corporeidade negra que busque uma  percepção positiva do ser negro e das negritudes de  forma artística e autônoma.  • Dança urbana."
EM13CO25,"Dialogar em  ambientes virtuais com  segurança e respeito às  diferenças culturais e pessoais,  reconhecendo e denunciando  atitudes abusivas.  ✔ Explicar a regulamentação, a lógica do surgimento  do esporte, os requisitos de sua prática.  ✔ Descrever como as práticas corporais de aventura,  as lutas e o esporte estão inseridos na sociedade de  distintas maneiras, na economia, cultura e na  política, e como são integrados esses elementos em  maior ou menor grau dependendo da finalidade, da  prática e do sentido que lhe é conferido.  ✔ Identificar as estratégias de marketing, produção e  comercialização dos materiais, equipamentos  esportivos e do próprio esporte transformado em  mercadoria, coisificado como produto da indústria  cultural.  ✔ Demonstrar que o esporte como linguagem corporal  e/ou forma de expressão e comunicação entre os  homens pode favorecer o diálogo do bem comum  entre as culturas, aproximando os homens para a  convivência.  • Expressar e refletir sobre  situações-conflito gerados  através das linguagens  corporais proporcionadas em  cada movimento nas danças  urbanas.  • Danças urbanas (percepção  positiva do ser negro e das  negritudes, cultura indígena, de  forma artística e autônoma)."
EM13CO07,"Compreender as  diferentes tecnologias, bem como  equipamentos, protocolos e serviços  envolvidos no funcionamento de  redes de computadores,  identificando suas possibilidades de  escala e confiabilidade.  ✔ Estabelecer a relação entre o contexto das lutas  com a sociedade em que se vive.  ✔ Identificar as funções e transformações  ocorridas nas lutas ao longo dos anos,  destacando o distanciamento de suas  finalidades iniciais.  • Lutas (matriz indígena e africana  são expressões culturais e  corporais que unem dança,  ritual e combate, refletindo  resistência e identidade, com  exemplos como a Capoeira  (África/Brasil, com música e  ginga) e o Huka -Huka (indígena"
EM13CO01,Explorar e construir a  solução de problemas por meio da  reutilização de partes de soluções  existentes.
EM13CO07,"Compreender as  diferentes tecnologias, bem como  equipamentos, protocolos e serviços  envolvidos no funcionamento de  redes de computadores,  identificando suas possibilidades de  escala e confiabilidade."
EM13CO11,"Criar e explorar modelos  computacionais simples para simular  e fazer previsões, identificando sua  importância no desenvolvimento  científico."
EM13CO16,"Desenvolver projetos  com robótica, utilizando artefatos  físicos ou simuladores."
EM13CO21,"Comunicar ideias  complexas de forma clara por meio  de objetos digitais como mapas  conceituais, infográficos, hipertextos  e outros."
EM13CO24,Identificar e reconhecer  como as redes sociais e artefatos  computacionais em geral interferem  na saúde física e mental de seus  usuários.
EM13CO08,"Entender como  mudanças na tecnologia  afetam a segurança, incluindo  novas maneiras de preservar  sua privacidade e dados  pessoais on -line, reportando  suspeitas e buscando ajuda  em situações de risco."
EM13CO23,"Analisar  criticamente as experiências  em comunidades virtuais e as  relações advindas da  interação e comunicação  com outras pessoas, bem  como seus impactos na  sociedade."
EM13CO11,"Criar e explorar  modelos computacionais  simples para simular e fazer  previsões, identificando sua  importância no  desenvolvimento científico."
EM13CO16,"Desenvolver  projetos com robótica,  utilizando artefatos físicos ou  simuladores."
EM13CO01,Explorar e  construir a solução de  problemas por meio da  reutilização de partes de  soluções existentes.
EM13CO03,"Identificar o  comportamento dos  algoritmos no que diz  respeito ao consumo de  recursos como tempo,  memória e energia."
EM13CO02,"Explorar e  construir a solução de  problemas por meio de  refinamentos, utilizando  diversos níveis de abstração  desde a especificação até a  implementação."
EM13CO06,Avaliar software  levando em consideração  diferentes características e  métricas associadas.
EM13CO10,Conhecer os  fundamentos da Inteligência
EM13CO12,"Produzir, analisar,  gerir e compartilhar  informações a   partir de dados, utilizando  princípios de ciência de dados."
EM13CO13,Analisar e utilizar  as diferentes formas de  representação e consulta a  dados em formato digital para  pesquisas científicas.
EM13CO21,"Comunicar ideias  complexas de forma clara por  meio de objetos digitais como  mapas conceituais, infográficos,  hipertextos e outros"
EM13CO03,"Identificar o  comportamento dos algoritmos  no que diz respeito ao consumo  de recursos como tempo,  memória e energia."
EM13CO11,"Criar e explorar  modelos computacionais  ✔ Escolher, entre diferentes tipos de gráficos  estatísticos, aquele mais adequado para  representar uma característica desejada do  conjunto de dados, por exemplo, entre as notas  dos estudantes de uma sala de aula (nota mais  frequente, variação das notas, comparação entre  notas de diferentes grupos etc.).  ✔ Relatar as principais vantagens/desvantagens do  uso de tabletes e gráficos estatísticos obtidos de  reportagens e/ou sites de referências que  mostrem ações para uma vida mais saudável  • Gráficos e diagramas estatísticos:  histogramas, polígonos de frequências,  diagrama de caixa, ramos e folhas etc.  • Medidas de tendência central e medidas de  dispersão."
EM13CO18,"Planejar e  gerenciar projetos integrados  às áreas de conhecimento de  forma colaborativa,  solucionando problemas com  artefatos computacionais."
EM13CO01,- Explorar e  construir a solução de  problemas por meio da  reutilização de partes de  soluções existentes.
EM13CO08,"- Entender  como mudanças na  tecnologia afetam a  segurança, incluindo novas  maneiras de preservar sua  privacidade e dados  pessoais on -line,  reportando suspeitas e  buscando ajuda em  situações de risco."
EM13CO11,"- Criar e  explorar modelos  computacionais simples  para simular e fazer  previsões, identificando sua  importância no  desenvolvimento científico."
EM13CO09,"- Identificar  tecnologias digitais, sua  presença e formas de uso,  nas diferentes atividades no  mundo do trabalho."
EM13CO08,- Conhecer  os fundamentos da
EM13CO08,"- Entender  como mudanças na  tecnologia afetam a  segurança, incluindo  novas maneiras de  preservar sua privacidade  e dados pessoais on -line,  reportando suspeitas e  buscando ajuda em  situações de risco."
EM13CO02,"- Explorar e  construir a solução de  problemas por meio de  refinamentos, utilizando  diversos níveis de  abstração desde a  especificação até a  implementação."
